"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39091,31182,23,79.8
"shore all-gear",289,145,17095,8312,50,48.6
"shore pot-closure",76,51,5764,1822,67,31.6
