"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1652,1327,2210,1158,924,1559
"2024-10",3194,2673,3883,2238,1883,2715
"2024-11",2583,2032,3319,1940,1542,2476
"2024-12",9198,8756,9976,2689,2589,2854
"2025-01",7691,7355,8341,2239,2162,2376
"2025-02",1879,1771,2156,1221,1178,1299
"2025-03",1995,1644,2839,1769,1693,1905
"2025-04",3069,2385,4670,2721,2471,3157
"2025-05",7289,4737,12417,3225,2799,3939
"2025-06",2690,1546,5400,1609,1271,2283
"2025-07",11176,6053,22054,5723,4299,8413
"2025-08",18636,11962,30723,7681,6157,10130
"2025-09",5380,3118,10425,3607,2863,4942
