"chain","n_iter","divergent","mean_accept_stat","mean_treedepth","max_treedepth","mean_n_leapfrog","mean_stepsize","ebfmi","ebfmi_low_flag"
1,2500,117,0.920879901930619,8.9144,9,499.7352,0.0069232268775606,0.80207767929342,FALSE
2,2500,79,0.944141005017719,9.9256,10,1005.2872,0.0048869747855138,0.795081009763478,FALSE
3,2500,417,0.831261463922292,8.8672,10,863.386,0.00492871376491476,0.890299105843691,FALSE
4,2500,72,0.953036086824533,9.9392,10,1007.8428,0.00479435692134233,0.83347276384608,FALSE
