"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59126,47957,76282,0.71
"Trap",11469,10178,13193,0.138
"Ring Net",10285,8899,12184,0.124
"Snare",1991,1723,2348,0.024
"Other",405,233,704,0.005
