"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","1.56x (1.08-2.18)","1.71x (0.60-5.41)","0.84x (0.70-1.01)",-0.177,-0.35,0.006
"shore_all_gear_Dungeness_Kept","1.66x (1.33-2.08)","2.85x (1.56-5.08)","0.72x (0.61-0.86)",-0.324,-0.501,-0.145
"private_boat_all_gear_Dungeness_Kept","1.30x (0.95-1.79)","2.19x (1.07-4.91)","0.99x (0.73-1.34)",-0.008,-0.31,0.294
