"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model2",0,0,-1045.10347033625,41.5752170657758,46.628587110224,4.36261530488854,2090.2069406725,83.1504341315515
"model1",-26.6126920019243,9.4515032749679,-1071.71616233817,42.6470777514902,38.6700080901298,4.13123572422452,2143.43232467634,85.2941555029804
