"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",2.99505364676902,0.955506022253984,2.94984058875494,5.13474442901178,2115,1.0009
"mu_mu_C[1]",-0.397575849957656,-2.55588502451763,-0.355685886410945,1.47382946960642,2518,1.0004
"sigma_eps_E",0.156545274728846,0.00533067140389857,0.126525312699764,0.442407113694678,380,1.008
"sigma_eps_C",0.183937907760418,0.0572867354983632,0.184144249878516,0.310479459006933,1601,1.0005
"phi_E",0.00610406118279023,-0.705807490773034,0.00199176773940979,0.740280874545028,3496,1.0005
"phi_C",0.217685419148603,-0.511552890713111,0.243164978441389,0.815035443105718,1169,1.0013
"sigma_r_E",0.381183041869458,0.107063212010927,0.39480050491485,0.535496082295199,321,1.0134
"sigma_r_C",0.799458949494384,0.731301309330273,0.799601090090661,0.870814355668854,6253,0.9995
"r_E",190.993876780648,3.48728470797341,6.41570843628576,87.2407931907698,3589,1.0017
"r_C",1.57397634731891,1.31870861079518,1.56405940810545,1.86985228216282,6088,0.9996
"sigma_mu_E",1.17264772083983,0.027623162451978,0.70018052891171,5.26276135978857,3283,1.0026
"sigma_mu_C",1.1265043044265,0.0263777928147556,0.704265284694133,4.92361816558936,2571,1.0015
"sigma_IE",0.191096081803864,0.0112904032408353,0.150834786168061,0.627281507182433,2833,1.0012
"R_G",1.31747851777474,1.26796744760735,1.31721491881884,1.36823555859468,7725,0.9998
"R_T",0.503869434864107,0.0260207338585842,0.503396757994492,0.977066458799765,8339,0.9997
"B1",0.560370114756965,0.285433047836516,0.563617397247553,0.828571555339744,3574,1
"B2",-0.342593409610976,-1.23841008941921,-0.355968099254092,0.624949259940815,5766,0.9998
"B1_C",-0.340110021047032,-0.540162420332786,-0.341379628662357,-0.141476006012704,4603,1.0003
