"fit","R_G_interpretation","R_T_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.27-1.37)","0.83 trailers/group (0.81-0.85)"
"shore_all_gear_Dungeness_Kept","1.27 gear/crabber (1.25-1.30)","0.84 trailers/group (0.81-0.85)"
"private_boat_all_gear_Dungeness_Kept","1.22 gear/crabber (1.20-1.24)","1.00 trailers/group (0.98-1.00)"
