"Mode","PE_Catch","PE_Effort"
"Shore (Dock/Jetty/Beach)",18803.471521952,53567.6608429536
"Private Boat",70035.5756409342,249395.014198783
"Commercial/Charter",12007.1197463768,282.811594202899
"PORT TOTAL",100846.166909263,303245.48663594
