"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","1.60x (1.15-2.19)","1.82x (0.67-5.78)","0.74x (0.61-0.90)",-0.301,-0.5,-0.104
"shore_all_gear_Dungeness_Kept","1.63x (1.34-2.10)","2.80x (1.60-4.98)","0.64x (0.56-0.76)",-0.45,-0.58,-0.278
"private_boat_all_gear_Dungeness_Kept","1.33x (0.99-1.80)","2.60x (1.26-5.70)","0.89x (0.58-1.39)",-0.116,-0.55,0.326
