"chain","n_iter","divergent","mean_accept_stat","mean_treedepth","max_treedepth","mean_n_leapfrog","mean_stepsize","ebfmi","ebfmi_low_flag"
1,2500,86,0.940269636776086,9.9336,10,1004.3812,0.00518533312295425,0.807482724726104,FALSE
2,2500,70,0.958431014171183,9.9472,10,1009.3744,0.00453346851865986,0.799871757756368,FALSE
3,2500,1456,0.477872694204541,5.3872,10,434.5052,0.00425972356437162,0.934423029512025,FALSE
4,2500,28,0.982005720352224,10.9792,11,2035.5488,0.00264405014334639,0.855279718425067,FALSE
