"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-09-16","2024-09-16",1,0,0,0,0,0,0,0,FALSE,1.08724955810511,0.866012646441659
2,"2024-09-17","2024-09-17",1,1,1,1,1,1,10,0,TRUE,0.885457501085336,0.723347923183848
3,"2024-09-18","2024-09-18",1,1,1,1,1,1,13,0,TRUE,0.869140630144418,0.715695405060974
4,"2024-09-19","2024-09-19",1,1,1,1,1,1,16,0,TRUE,0.933116271930862,0.687751440116919
5,"2024-09-20","2024-09-20",1,1,1,1,1,1,8,0,TRUE,0.915610020421947,0.776248469188146
6,"2024-09-21","2024-09-21",1,1,1,1,1,1,22,0,TRUE,0.86593636036027,0.686976545566582
7,"2024-09-22","2024-09-22",1,0,0,0,0,0,0,0,FALSE,1.11058405207083,0.921137966673174
8,"2024-09-23","2024-09-23",1,0,0,0,0,0,0,0,FALSE,1.09582695267819,0.861968493214196
9,"2024-09-24","2024-09-24",1,1,1,1,1,1,13,0,TRUE,0.916732653467169,0.695562440595214
10,"2024-09-25","2024-09-25",1,1,1,1,1,1,8,0,TRUE,1.07540833592173,0.819251437264352
11,"2024-09-26","2024-09-26",1,0,0,0,0,0,0,0,FALSE,1.08860243223751,0.930764349845477
12,"2024-09-27","2024-09-27",1,1,1,1,1,1,14,0,TRUE,0.916234228004144,0.676970473833228
13,"2024-09-28","2024-09-28",1,1,1,1,1,1,42,0,TRUE,0.980859191597882,0.556438130665158
14,"2024-09-29","2024-09-29",1,0,0,0,0,0,0,0,FALSE,1.12604064020228,0.871169982186291
15,"2024-09-30","2024-09-30",1,0,0,0,0,0,0,0,FALSE,1.11931297764809,0.917234632815683
16,"2024-10-01","2024-10-01",1,1,1,1,1,1,12,0,TRUE,0.878233314966052,0.731395838505864
17,"2024-10-02","2024-10-02",1,0,0,0,0,0,0,0,FALSE,1.09200377985617,0.910832152558872
18,"2024-10-03","2024-10-03",1,1,1,1,1,1,22,0,TRUE,0.901976679679535,0.65382170895705
19,"2024-10-04","2024-10-04",1,1,1,1,1,1,13,0,TRUE,0.929412991437497,0.707772219198848
20,"2024-10-05","2024-10-05",1,1,1,1,1,1,25,0,TRUE,0.939188876591637,0.62957776700904
21,"2024-10-06","2024-10-06",1,0,0,0,0,0,0,0,FALSE,1.1602490121895,0.893662731312758
22,"2024-10-07","2024-10-07",1,0,0,0,0,0,0,0,FALSE,1.12320801141402,0.902740949483542
23,"2024-10-08","2024-10-08",1,1,1,1,1,1,11,0,TRUE,0.878982268715716,0.694301683394662
24,"2024-10-09","2024-10-09",1,1,1,1,1,1,14,0,TRUE,0.883114676734423,0.669137344035471
25,"2024-10-10","2024-10-10",1,0,0,0,0,0,0,0,FALSE,1.07924284815527,0.880039390842068
26,"2024-10-11","2024-10-11",1,1,1,1,1,1,11,0,TRUE,1.084224109447,0.723870771598145
27,"2024-10-12","2024-10-12",1,1,1,1,1,1,16,0,TRUE,0.891989073787784,0.681183197171316
28,"2024-10-13","2024-10-13",1,1,1,1,1,1,17,0,TRUE,0.912423466755723,0.670007025845544
29,"2024-10-14","2024-10-14",1,0,0,0,0,0,0,0,FALSE,1.13665772439618,0.848890503372622
30,"2024-10-15","2024-10-15",1,1,1,1,1,1,14,0,TRUE,0.905197649590897,0.670946809133345
31,"2024-10-16","2024-10-16",1,1,1,1,1,1,16,0,TRUE,0.883155922445543,0.653804660636272
32,"2024-10-17","2024-10-17",1,1,1,1,1,1,28,0,TRUE,0.896672326328157,0.594582036249043
33,"2024-10-18","2024-10-18",1,1,1,1,1,1,25,0,TRUE,0.857731641388352,0.634465079471895
34,"2024-10-19","2024-10-19",1,1,1,1,1,1,30,0,TRUE,0.919337980740743,0.615668802706033
35,"2024-10-20","2024-10-20",1,0,0,0,0,0,0,0,FALSE,1.03313586169197,0.984707348443568
36,"2024-10-21","2024-10-21",1,1,1,1,1,1,15,1,TRUE,0.703270784832277,0.765146306181797
37,"2024-10-22","2024-10-22",1,1,1,1,1,1,15,0,TRUE,0.845982623477756,0.733220612394874
38,"2024-10-23","2024-10-23",1,1,1,1,1,1,12,0,TRUE,0.907053159578119,0.71049624643044
39,"2024-10-24","2024-10-24",1,1,1,1,1,1,10,0,TRUE,0.915363018013523,0.717333086043519
