"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1254.02317241408,16.3848711995132,111.890714324065,57,-1142.13
"catch",2742,-5128.02612984705,63.8140045671495,61.1115110826802,2,-5066.91
