"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (ring_net_only)",11026,11177,1.4,6070,6769,11.5,"BSS"
"shore (all_gear)",42541,54939,29.1,12733,19000,49.2,"PE"
"private_boat (ring_net_only)",11678,NA,NA,6171,NA,NA,"PE"
"private_boat (all_gear)",237717,87344,-63.3,63864,56195,-12,"BSS"
"comm_charter (census)",283,NA,NA,12007,NA,NA,"Census"
