"term","edf","Ref.df","F","p-value"
"s(yday)",3.91937551583008,7,16.6482467276495,0
"s(tide_range_m)",2.06136397865343e-05,4,1.53443360731059e-06,0.725843396594157
"s(daytime_tide_range_m)",1.66765441373406,4,1.68591544750942,0.00921790260292754
"s(daytime_high_hour)",0.850065479519693,4,1.46980811258711,0.00489265141542505
"s(n_high_tides_daytime)",4.90201196323775e-05,4,3.85483040170378e-06,0.690530733057423
"s(flood_hours_daytime)",0.0989235157446312,4,0.0276443371105904,0.259328278232729
"s(tidal_energy)",1.90414564649306,4,2.01616433354784,0.00577632709016584
"s(daytime_tide_max_m)",2.44002781973439e-05,4,9.98389236762536e-07,0.853486751875982
"s(daytime_tide_min_m)",1.39942712631754e-05,4,8.13823426931678e-07,0.714621973638194
"s(wave_h_m_mean)",1.74535298427598,4,1.77500936278093,0.0121125540853612
"s(sst_c_mean)",0.440658226861933,4,0.205199163259831,0.12855730440055
"s(precip_mm_total)",4.1747239017254e-05,4,2.25232678962725e-06,0.782343070862093
