"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"trailer",0.682051282051282,0.984615384615385,0.496564102564103,0.266503900512238,195,195
"catch",0.618320610687023,0.977099236641221,0.510362595419847,0.273528778217598,131,131
