"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1673,1301,2293,1200,933,1656
"2024-10",3224,2658,4006,2250,1857,2800
"2024-11",2490,1908,3271,1858,1450,2406
"2024-12",9626,8790,10715,2256,1784,2861
"2025-01",7170,6638,7924,2254,1771,2889
"2025-02",1682,1390,2106,1453,1102,1939
"2025-03",1525,1080,2389,1658,1384,1988
"2025-04",3359,2447,4986,3224,2649,3952
"2025-05",8096,5451,13682,3936,3245,4836
"2025-06",4119,2652,7054,2945,2274,3885
"2025-07",12854,7594,24363,7891,6113,10858
"2025-08",19484,12661,31279,8915,7130,11385
"2025-09",5797,3413,10597,3601,2726,4998
