"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-12-01","2024-12-01",1,1,1,1,1,1,31,0,TRUE,1.02195998756328,0.820101237863543
2,"2024-12-02","2024-12-02",1,0,1,0,1,0,1,0,TRUE,2.15121354515307,1.06232434373062
3,"2024-12-03","2024-12-03",1,1,1,1,1,1,11,0,TRUE,1.13592695737396,0.903430777083163
4,"2024-12-04","2024-12-04",1,1,1,1,1,1,13,0,TRUE,1.10204701044911,0.903614115582204
5,"2024-12-05","2024-12-05",1,1,1,1,1,1,10,0,TRUE,1.17134285355186,0.954221700953038
6,"2024-12-06","2024-12-06",1,1,1,1,1,1,11,1,TRUE,1.1121061527161,0.920496354616243
7,"2024-12-07","2024-12-07",1,1,1,1,1,1,4,0,TRUE,1.1178332410338,1.09556999583747
8,"2024-12-08","2024-12-08",1,0,0,0,0,0,0,0,FALSE,2.35685974231192,1.27202180417734
9,"2024-12-09","2024-12-09",1,0,0,0,0,0,0,0,FALSE,2.35644980489545,1.29708723865194
10,"2024-12-10","2024-12-10",1,1,1,1,1,1,9,0,TRUE,1.16022039796558,1.10968768389241
11,"2024-12-11","2024-12-11",1,1,1,1,1,1,6,0,TRUE,1.16440770367542,1.00399179568993
12,"2024-12-12","2024-12-12",1,1,1,1,1,1,14,0,TRUE,1.06179763428029,0.899423505197989
13,"2024-12-13","2024-12-13",1,1,1,1,1,1,11,0,TRUE,1.15920702553578,0.923306813309061
14,"2024-12-14","2024-12-14",1,1,1,1,1,1,6,0,TRUE,1.07060584105122,1.00398489432597
15,"2024-12-15","2024-12-15",1,1,1,1,1,1,6,0,TRUE,1.12679985548795,1.20050911848296
16,"2024-12-16","2024-12-16",1,0,0,0,0,0,0,0,FALSE,2.29360023184473,1.32846239394457
17,"2024-12-17","2024-12-17",1,0,0,0,0,0,0,0,FALSE,2.32534864344961,1.28316765240197
18,"2024-12-18","2024-12-18",1,1,1,1,1,1,6,0,TRUE,1.11886498769079,1.07142767700152
19,"2024-12-19","2024-12-19",1,0,0,0,0,0,0,0,FALSE,2.152316590141,1.17895488890747
20,"2024-12-20","2024-12-20",1,1,1,1,1,1,8,0,TRUE,1.1814666461345,1.00699593888642
21,"2024-12-21","2024-12-21",1,1,1,1,1,1,6,0,TRUE,1.17302743582064,1.05021083105904
22,"2024-12-22","2024-12-22",1,1,1,1,1,1,5,0,TRUE,1.18432683476059,1.1077858049562
23,"2024-12-23","2024-12-23",1,1,1,1,1,1,9,0,TRUE,1.10474718134738,1.03339465877361
24,"2024-12-24","2024-12-24",1,1,1,1,1,1,6,0,TRUE,1.11682923586302,1.0561172859122
25,"2024-12-25","2024-12-25",1,0,0,0,0,0,0,0,FALSE,2.1717176591034,1.1634910639353
26,"2024-12-26","2024-12-26",1,1,1,1,1,1,5,0,TRUE,1.08100522065156,1.03590611289302
27,"2024-12-27","2024-12-27",1,1,1,1,1,1,19,0,TRUE,1.04710275941231,0.855320552755467
28,"2024-12-28","2024-12-28",1,1,1,1,1,1,12,0,TRUE,1.04128329410396,0.992415968997555
29,"2024-12-29","2024-12-29",1,0,0,0,0,0,0,0,FALSE,2.32676886516075,1.1923464211619
30,"2024-12-30","2024-12-30",1,0,0,0,0,0,0,0,FALSE,2.31524048519279,1.17258871263667
31,"2024-12-31","2024-12-31",1,1,1,1,1,1,38,0,TRUE,1.37806550888867,0.985709011306964
32,"2025-01-01","2025-01-01",1,1,1,1,1,1,15,0,TRUE,1.40661662875241,1.01079493635455
33,"2025-01-02","2025-01-02",1,1,1,1,1,1,10,0,TRUE,1.10408979623386,1.00393780251022
34,"2025-01-03","2025-01-03",1,1,1,1,1,1,10,0,TRUE,1.01021278049441,0.971873356887299
35,"2025-01-04","2025-01-04",1,1,1,1,1,1,8,0,TRUE,1.08047875008412,1.11176627655106
