"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik_catch[119]",-2.33426534609403,0.00183694290308083,0.121925793692203,-2.58810039995034,-2.41341234342516,-2.32877217407047,-2.24946336717668,-2.11505508043089,4405.54729292717,1.00078497615631
"log_lik_catch[120]",-1.10887150966424,0.00123932885667009,0.0860581404186323,-1.28641838422937,-1.16442343850635,-1.10597794324681,-1.04909656060831,-0.95194084846238,4821.8177450788,1.0005841674797
"log_lik_catch[121]",-1.75764348007175,0.000597925484491199,0.0370934369544524,-1.83418796881629,-1.78192786719735,-1.75592931326363,-1.73206229310482,-1.68791565325821,3848.57560567976,1.00113341840306
"log_lik_catch[122]",-2.27906886175098,0.00123321369778009,0.0902366541845791,-2.47253440416883,-2.33565869254337,-2.27517209987865,-2.21580753814624,-2.11631982731734,5354.13464076317,1.0003010201357
"log_lik_catch[123]",-2.63442005787538,0.000632067366369646,0.0433407849482728,-2.72025481704564,-2.66330779690814,-2.6336595228682,-2.60558233569634,-2.55113134716028,4701.82876528278,1.00041549935308
"log_lik_catch[124]",-1.32052717534136,0.000395480644234664,0.0343537064888357,-1.3963579092222,-1.34133644423004,-1.31815658063113,-1.29634578175858,-1.2604028652959,7545.65137003161,0.999573001092694
"log_lik_catch[125]",-2.59397052889942,0.00217001204689521,0.139872611632232,-2.88560688604613,-2.68627091173515,-2.58715222507599,-2.49599316099439,-2.34116458529761,4154.71347048183,1.00092532483694
"log_lik_catch[126]",-2.88911125356779,0.00109872864083298,0.0708448228221243,-3.03904031361063,-2.9342106324721,-2.8847895292525,-2.83928213129888,-2.76329236958906,4157.52956195348,1.00097731370266
"log_lik_catch[127]",-2.94558357310903,0.0014485055344634,0.101969838195864,-3.1568068581252,-3.01114725330502,-2.93898708100817,-2.87485238237207,-2.76337350123445,4955.67871466658,1.0004946245065
"log_lik_catch[128]",-2.47596961580844,0.000671788073626991,0.0423278925340082,-2.5592227066891,-2.50452076416894,-2.47511478953644,-2.44655207727918,-2.39404391998856,3969.9836015153,1.00089784872601
"log_lik_catch[129]",-1.82017901423589,0.000531104866374063,0.0462609636909887,-1.92105321100029,-1.8486343072773,-1.81753464535708,-1.78770255224048,-1.73771408452058,7586.97738698083,0.99956512838674
"log_lik_catch[130]",-2.69213759901694,0.00178928507758027,0.11992372320384,-2.94084419808532,-2.76869652420666,-2.68670425722541,-2.60826581152706,-2.47705554084678,4492.11769830219,1.00072643045289
"log_lik_catch[131]",-2.31931454120113,0.000779369933031614,0.048064935436959,-2.41753827474839,-2.35088492345271,-2.31720370988207,-2.28626011199871,-2.22884567436092,3803.37749082345,1.00117868704391
"log_lik_catch[132]",-4.89449038817885,0.00378373541090078,0.27229360491629,-5.44479694686159,-5.07270983872255,-4.88601232702786,-4.7075317630866,-4.38784894963597,5178.85038226449,0.999836264289322
"log_lik_catch[133]",-2.60560913685476,0.00107489823947311,0.0854548745674167,-2.78694049471107,-2.65930259963922,-2.60088506483132,-2.54666547952385,-2.45192030864403,6320.3187138163,0.999960897362833
"log_lik_catch[134]",-1.55747713605186,0.00131355369718844,0.106321038859536,-1.77961440373084,-1.62594211078413,-1.55422228687628,-1.48558502567354,-1.36042340838126,6551.53040027578,1.0001967708875
"log_lik_catch[135]",-2.05799653734139,0.000514766620780812,0.0384999261988411,-2.13688553555947,-2.0831278601983,-2.05670871116199,-2.03171384371562,-1.98559017162509,5593.69829080322,1.00070008607325
"log_lik_catch[136]",-1.91688556370588,0.000748428369732729,0.0535670607918257,-2.02880634445586,-1.95053268675705,-1.91383590230409,-1.87959518006281,-1.82295463798024,5122.65551910902,0.999911689892398
"log_lik_catch[137]",-3.04454301951648,0.000917438852057782,0.0729018434923118,-3.19561539432061,-3.0900865713165,-3.04036129688913,-2.9947330161822,-2.91161725963132,6314.26443117472,1.00025905034664
"log_lik_catch[138]",-2.0013219127042,0.00164636030798548,0.133966182426637,-2.27915604859617,-2.08735307807431,-1.99889750755841,-1.91007216906364,-1.7514671810089,6621.25919400703,1.00028312544408
"log_lik_catch[139]",-1.54450893220074,0.000737177867339777,0.0560533940365342,-1.66279238595389,-1.57969451538564,-1.54102937940915,-1.5053206375945,-1.44487186379752,5781.7492558545,0.999903614176769
"log_lik_catch[140]",-2.11802454978978,0.00121954575219506,0.0979034812347403,-2.3270441645955,-2.1802697257507,-2.11364041939769,-2.05093570862952,-1.94095905631697,6444.66093953998,1.00008734813303
"log_lik_catch[141]",-0.953212582250183,0.000864580043409102,0.0694136902917481,-1.09897262332856,-0.997330255416978,-0.950702936163248,-0.906070325940714,-0.82522860079911,6445.84493965241,1.00007228703321
"log_lik_catch[142]",-2.57911349958663,0.0008299816030079,0.0539202867507262,-2.68893821360145,-2.61424041899957,-2.57659398628051,-2.54266426179801,-2.48083237340875,4220.53449380763,1.00003264743175
"log_lik_catch[143]",-1.55747713605186,0.00131355369718844,0.106321038859536,-1.77961440373084,-1.62594211078413,-1.55422228687628,-1.48558502567354,-1.36042340838126,6551.53040027578,1.0001967708875
"log_lik_catch[144]",-1.82074790257502,0.000565343894792184,0.0453280885480834,-1.91502063830785,-1.84970179800635,-1.81828305904042,-1.78994899716206,-1.73670538325092,6428.49629676818,1.0003710135609
"log_lik_catch[145]",-5.16239977375541,0.00401307526611434,0.286981411439155,-5.7445765457973,-5.34820584999881,-5.15031202754835,-4.9644362779672,-4.63482466864418,5113.90815900938,0.999827063246278
"log_lik_catch[146]",-1.82074790257502,0.000565343894792184,0.0453280885480834,-1.91502063830785,-1.84970179800635,-1.81828305904042,-1.78994899716206,-1.73670538325092,6428.49629676818,1.0003710135609
"log_lik_catch[147]",-2.05799653734139,0.000514766620780812,0.0384999261988411,-2.13688553555947,-2.0831278601983,-2.05670871116199,-2.03171384371562,-1.98559017162509,5593.69829080322,1.00070008607325
"log_lik_catch[148]",-0.953212582250183,0.000864580043409102,0.0694136902917481,-1.09897262332856,-0.997330255416978,-0.950702936163248,-0.906070325940714,-0.82522860079911,6445.84493965241,1.00007228703321
"log_lik_catch[149]",-1.75700136740287,0.000543447724452862,0.0350159040753192,-1.82818299277531,-1.77966192084948,-1.75518742648661,-1.73358909186062,-1.69125634244027,4151.5965134264,1.00028146651301
"log_lik_catch[150]",-1.55747713605186,0.00131355369718844,0.106321038859536,-1.77961440373084,-1.62594211078413,-1.55422228687628,-1.48558502567354,-1.36042340838126,6551.53040027578,1.0001967708875
"log_lik_catch[151]",-1.55747713605186,0.00131355369718844,0.106321038859536,-1.77961440373084,-1.62594211078413,-1.55422228687628,-1.48558502567354,-1.36042340838126,6551.53040027578,1.0001967708875
"log_lik_catch[152]",-3.183108241708,0.00155756938099852,0.122259190900351,-3.43529909056102,-3.26147244074835,-3.17900653361067,-3.09881440831885,-2.95655801691164,6161.24150528582,0.99994714718777
"log_lik_catch[153]",-2.50857495211441,0.000724929015721159,0.0461894545827233,-2.60097294867229,-2.5387737354723,-2.50674777274032,-2.47796320457253,-2.42016487037682,4059.70710772221,1.00027942696588
"log_lik_catch[154]",-3.15026411685317,0.000722057070591578,0.0573043137671912,-3.2682186951096,-3.18740430888996,-3.14746858150362,-3.11083329101194,-3.04316605347425,6298.41948626612,1.00055203899183
"log_lik_catch[155]",-2.07590044346973,0.000631137525237058,0.0404458700100324,-2.15749988310842,-2.10219662524586,-2.07402353185733,-2.0489400344466,-1.99924156218549,4106.76978702541,1.00028049289785
"log_lik_catch[156]",-5.61655017598125,0.00331509855770526,0.240730584022517,-6.11945166102537,-5.77096764010401,-5.60375063928345,-5.44814230511331,-5.18736959922947,5273.14422645523,0.999818681305864
"log_lik_catch[157]",-3.17633379720888,0.000931073267179241,0.0637447845970238,-3.30567691807179,-3.21802105755025,-3.17419912384161,-3.13264053966476,-3.06287524245097,4687.28759373994,0.999949236671425
"log_lik_catch[158]",-2.63442005787538,0.000632067366369646,0.0433407849482728,-2.72025481704564,-2.66330779690814,-2.6336595228682,-2.60558233569634,-2.55113134716028,4701.82876528278,1.00041549935308
"log_lik_catch[159]",-2.31237511214432,0.000859836124569641,0.0701621756928615,-2.45989865655327,-2.35572578156045,-2.30922437581734,-2.26378112575742,-2.18536707954274,6658.47419537506,0.999832050210029
"log_lik_catch[160]",-3.9910329546611,0.00258028329789592,0.203052301146867,-4.41574510892616,-4.12499489105047,-3.97908430445634,-3.85193877537326,-3.61940108185578,6192.7143633206,0.999956838479886
"log_lik_catch[161]",-4.35626340414788,0.0029942938365488,0.239346161241008,-4.85628036350751,-4.51304821689532,-4.34210862651308,-4.1912332499797,-3.91993103608146,6389.45918320832,0.999867546094246
"log_lik_catch[162]",-2.88911125356779,0.00109872864083298,0.0708448228221243,-3.03904031361063,-2.9342106324721,-2.8847895292525,-2.83928213129888,-2.76329236958906,4157.52956195348,1.00097731370266
"log_lik_catch[163]",-2.77996171521744,0.000761939306604284,0.0469402663962724,-2.87308325633625,-2.81158419261356,-2.77890737418033,-2.74766515748643,-2.68884453663378,3795.33699074187,1.00107296226391
"log_lik_catch[164]",-1.75764348007175,0.000597925484491199,0.0370934369544524,-1.83418796881629,-1.78192786719735,-1.75592931326363,-1.73206229310482,-1.68791565325821,3848.57560567976,1.00113341840306
"log_lik_catch[165]",-1.82017901423589,0.000531104866374063,0.0462609636909887,-1.92105321100029,-1.8486343072773,-1.81753464535708,-1.78770255224048,-1.73771408452058,7586.97738698083,0.99956512838674
"log_lik_catch[166]",-2.94558357310903,0.0014485055344634,0.101969838195864,-3.1568068581252,-3.01114725330502,-2.93898708100817,-2.87485238237207,-2.76337350123445,4955.67871466658,1.0004946245065
"log_lik_catch[167]",-3.63712736915814,0.00171586523765173,0.122414174692185,-3.8971562008584,-3.71592795771347,-3.62746294095684,-3.5518830099574,-3.42225901315083,5089.75721039518,1.00043391478138
"log_lik_catch[168]",-3.63712736915814,0.00171586523765173,0.122414174692185,-3.8971562008584,-3.71592795771347,-3.62746294095684,-3.5518830099574,-3.42225901315083,5089.75721039518,1.00043391478138
"log_lik_catch[169]",-2.93673251651978,0.000920214927480535,0.0565212154103105,-3.05271950323566,-2.97371071940267,-2.93438244045088,-2.89803649555199,-2.8302729148931,3772.63193218133,1.0012152052186
"log_lik_catch[170]",-1.68286215789175,0.000983543395665722,0.0740899757961648,-1.84126288136485,-1.7293340006112,-1.67908900491917,-1.6306512964941,-1.55027290941385,5674.5555626601,1.00016887006817
"log_lik_catch[171]",-1.27424992288597,0.000383903845931518,0.0249845003761418,-1.32573418774437,-1.29025427015668,-1.27262846668681,-1.25746172974079,-1.22818402364802,4235.41931176559,1.00028317639026
"log_lik_catch[172]",-1.55747713605186,0.00131355369718844,0.106321038859536,-1.77961440373084,-1.62594211078413,-1.55422228687628,-1.48558502567354,-1.36042340838126,6551.53040027578,1.0001967708875
