"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","1.61x (1.17-2.23)","1.66x (0.60-5.43)","0.82x (0.70-0.97)",-0.202,-0.363,-0.034
"shore_all_gear_Dungeness_Kept","1.67x (1.32-2.10)","2.82x (1.55-5.13)","0.72x (0.61-0.86)",-0.325,-0.492,-0.149
"private_boat_all_gear_Dungeness_Kept","1.56x (1.22-1.99)","3.04x (1.72-5.68)","0.99x (0.73-1.35)",-0.01,-0.32,0.3
