"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",52,-228.065005251478,6.10610607935829,6.07988499844107,1,-221.99
"catch",627,-1449.01301871263,21.7503730941167,6.60670897587281,0,-1442.41
