"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1393,1015,2053,1063,797,1545
"2024-10",2761,2205,3532,2020,1636,2549
"2024-11",2419,1848,3155,1823,1406,2341
"2024-12",8983,8317,9968,2107,1722,2643
"2025-01",6840,6425,7438,2346,1876,3072
"2025-02",1593,1321,2038,1473,1140,2016
"2025-03",1516,1088,2233,1960,1544,2616
"2025-04",2684,1919,3891,2963,2293,3978
"2025-05",5033,3150,8541,3266,2474,4559
"2025-06",4678,2702,8396,3445,2427,5036
"2025-07",11117,5595,22844,6869,4581,10246
"2025-08",13202,6834,24884,6510,4424,9484
"2025-09",3838,2233,7350,2630,1831,3826
