"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",44663,29406,68903,0.663
"Trap",11458,10105,13096,0.17
"Ring Net",9073,7446,11328,0.135
"Snare",1939,1671,2275,0.029
"Other",256,107,555,0.004
