"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",26614,39156,32679,47619
"Dungeness_Kept","Expected_Catch",44810,67323,50432,93793
"Dungeness_Kept","Predictive_Catch",NA,67320,50508,93738
