"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4661,4911,5.3,5959,6331,6.2,"BSS"
"shore (All gear)",18863,24997,32.5,15755,20898,32.6,"BSS"
"private_boat (Pot closure)",180,NA,NA,400,NA,NA,"PE"
"private_boat (All gear)",3711,9475,155.3,11176,25868,131.5,"BSS"
"comm_charter (census)",279,NA,NA,11821,NA,NA,"Census"
