"fit","attempt","n_attempts_planned","ar_resolution","P_n","escalation_enabled","divergences","divergence_fraction","impact_C_sd","pass_convergence"
"shore_ring_net_only_Dungeness_Kept",1,1,"biweekly",6,FALSE,110,0.0183,0.0016,TRUE
"shore_all_gear_Dungeness_Kept",1,1,"daily",289,FALSE,333,0.0333,0.0034,TRUE
"private_boat_all_gear_Dungeness_Kept",1,1,"monthly",10,FALSE,97,0.0097,0.0018,TRUE
