"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.27-1.38)","3.95 gear/group (1.51-10.70)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","4.02 gear/group (1.51-10.54)"
"private_boat_all_gear_Dungeness_Kept","1.21 gear/crabber (0.69-2.20)","3.55 gear/group (3.24-3.88)"
