"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",42659,28306,65483,0.653
"Trap",11551,10293,13044,0.177
"Ring Net",8967,7445,11158,0.137
"Snare",1945,1695,2272,0.03
"Other",241,102,519,0.004
