"parameter","estimate","median","lo95","hi95","mean","n_eff","Rhat","decoupled","decoupled_reason","fit_method"
"mu_mu_E[1]",1.89393328835503,1.89393328835503,-0.393228978218141,4.40298828319837,1.92683904752829,3228,1.0009,FALSE,NA,"BSS"
"mu_mu_C[1]",0.548785219535283,0.548785219535283,-2.2977727987917,2.41945564133107,0.404550844424964,2920,1.0003,FALSE,NA,"BSS"
"sigma_eps_E",1.10458168917995,1.10458168917995,0.460275477757792,3.38068168485285,1.31478614048911,2825,1.001,FALSE,NA,"BSS"
"sigma_eps_C",0.456596307435131,0.456596307435131,0.0211530765769746,2.38205864121541,0.640089516309992,3320,1.0014,FALSE,NA,"BSS"
"phi_E",0.116432155966082,0.116432155966082,-0.684477715918377,0.833688262327346,0.101414438142093,4227,1.0006,FALSE,NA,"BSS"
"phi_C",0.079491419891997,0.079491419891997,-0.752650682190209,0.822271717520024,0.0657210047787014,6580,0.9996,FALSE,NA,"BSS"
"sigma_r_E",0.846105723671782,0.846105723671782,0.512758681650267,1.27009225180316,0.856940379798471,6883,1.0006,FALSE,NA,"BSS"
"sigma_r_C",1.0765952876631,1.0765952876631,0.661873263141861,1.70660212549706,1.10708218329334,7322,1.0001,FALSE,NA,"BSS"
"r_E",1.39685309955567,1.39685309955567,0.619911274743504,3.80341714393364,1.6034545508801,5042,1.0005,FALSE,NA,"BSS"
"r_C",0.862770031733479,0.862770031733479,0.34334873548236,2.28270781809717,0.972103879582306,5199,1.0004,FALSE,NA,"BSS"
"sigma_mu_E",0.702450295884265,0.702450295884265,0.0293187951619007,4.55197195210352,1.08811763792864,4675,0.9996,FALSE,NA,"BSS"
"sigma_mu_C",0.788810341269066,0.788810341269066,0.0317173175614847,6.68952863810262,1.36944026291336,2710,1.0014,FALSE,NA,"BSS"
"sigma_IE",NA,0.134639004228774,0.00478841422562355,0.727856444538997,0.199838921060694,9932,0.9998,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior","BSS"
"R_G",1.25647544292289,1.25647544292289,0.687232226168208,2.30070374431089,1.32058975145841,7460,0.9997,FALSE,NA,"BSS"
"R_G_boat",2.89022452965746,2.89022452965746,2.18810206805263,3.75137707075887,2.91236300266214,8235,0.9996,FALSE,NA,"BSS"
"B1",1.03515839700018,1.03515839700018,0.549382959013728,1.54377991385064,1.03724945268324,7297,1.0001,FALSE,NA,"BSS"
"B2",0.0032850425906597,0.0032850425906597,-1.95398734296284,1.93880157604513,0.000964597156037747,7835,1,FALSE,NA,"BSS"
"B1_C",0.0385806450851659,0.0385806450851659,-1.01315726764346,1.22907084809515,0.0591425340737493,5910,0.9998,FALSE,NA,"BSS"
"B2_C",0.00247862939900404,0.00247862939900404,-1.99381281603535,1.97881296680352,-0.00246977384435046,8757,0.9999,FALSE,NA,"BSS"
"gamma_C",NA,0.0171017625066432,-1.93935836932455,2.00663602501229,0.0182981748731464,6656,0.9996,TRUE,"estimate_cpue_density = 0: the density term is inert","BSS"
"kappa_OSP",NA,2.99898587024019,1.69516269385613,5.42585427815509,3.14060589384937,7858,1,TRUE,"osp_scale_is_tau = 1: the OSP mean uses L, not kappa_OSP; this is the prior","BSS"
"sigma_r_OSP",0.666488471765169,0.666488471765169,0.427172913168259,1.04093283402623,0.68349567384767,6491,0.9997,FALSE,NA,"BSS"
"r_OSP",2.25120329981279,2.25120329981279,0.92289989335578,5.48015287601174,2.49276637972601,5639,1.0001,FALSE,NA,"BSS"
"f_crab[1]",0.294341061670051,0.294341061670051,0.130698189616292,0.508276713014165,0.301616107874559,8731,0.9995,FALSE,NA,"BSS"
"f_lower[1]",NA,0,0,0,0,NA,NA,TRUE,"osp_crab_lower = 0: the OSP lower bound is off and f_lower is pinned at 0","BSS"
"tau_bar[1]",1.87291775798323,1.87291775798323,1.21863488690395,2.78021628648811,1.90802549426569,6997,1.0016,FALSE,NA,"BSS"
