"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1337.1222852602,15.2249092770275,29.5143721400142,0,-1307.61
"catch",1649,-3158.35407207948,46.2436198513976,28.0299032149523,0,-3130.32
