"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48408,31569,74767,0.672
"Trap",11812,10669,13166,0.164
"Ring Net",9569,7915,12017,0.133
"Snare",2008,1763,2324,0.028
"Other",288,122,636,0.004
