"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27691,42411,35324,51817
"Dungeness_Kept","Expected_Catch",45105,72027,53018,101364
"Dungeness_Kept","Predictive_Catch",NA,72043,52981,101484
