"fit","attempt","n_attempts_planned","ar_resolution","P_n","escalation_enabled","divergences","divergence_fraction","impact_C_sd","pass_convergence","catch_median","catch_lo95","catch_hi95","pi_width","pi_width_rel","effort_median","p_loo","p_loo_frac","n_pareto_bad","cov50_gear","cov50_catch","pit_mean_catch","selected"
"shore_ring_net_only_Dungeness_Kept",1,1,"biweekly",6,FALSE,119,0.0198,2e-04,TRUE,6319.75734772277,5206.34418740889,7740.51154435461,2534.16735694572,0.400991243415204,4929.81351184989,NA,NA,NA,NA,NA,NA,TRUE
"shore_all_gear_Dungeness_Kept",1,1,"weekly",44,FALSE,320,0.032,0.0035,TRUE,21489.4904684716,19165.6292155893,24410.3411326965,5244.71191710724,0.244059389160578,25538.6399810594,NA,NA,NA,NA,NA,NA,TRUE
"private_boat_ring_net_only_Dungeness_Kept",1,1,"monthly",3,FALSE,32,0.0053,0.0012,TRUE,1017.80690144919,330.422779339261,3474.3800190776,3143.95723973834,3.08895256581761,424.802486303144,NA,NA,NA,NA,NA,NA,TRUE
"private_boat_all_gear_Dungeness_Kept",1,1,"monthly",10,FALSE,39,0.0039,6e-04,TRUE,31007.8803539556,12372.737206229,60043.9459004214,47671.2086941924,1.53739011341712,11118.0210416129,NA,NA,NA,NA,NA,NA,TRUE
