"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected","bss_reported"
"shore (Pot closure)",4661,4930,5.8,5959,6320,6.1,"BSS",TRUE
"shore (All gear)",18863,25539,35.4,15755,21489,36.4,"BSS",TRUE
"private_boat (Pot closure)",180,425,135.7,400,1018,154.3,"BSS",TRUE
"private_boat (All gear)",3709,11118,199.8,11170,31008,177.6,"BSS",TRUE
"comm_charter (census)",279,NA,NA,11821,NA,NA,"Census (day-type stratified)",FALSE
