"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.25-1.38)","4.61 gear/group (1.52-10.65)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","3.99 gear/group (1.51-10.66)"
"private_boat_all_gear_Dungeness_Kept","1.23 gear/crabber (0.68-2.19)","3.55 gear/group (3.24-3.88)"
