"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.758842443729904,0.983922829581994,0.500534565916399,0.222602936072545,311,311
"catch",0.735597331716192,0.991510006064281,0.498355821710127,0.277263002350034,1649,1649
