"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39292,31338,23,79.8
"shore all-gear",289,145,17037,8256,50,48.5
"shore pot-closure",76,51,5726,1769,67,30.9
