"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",35342,44267,40173,49528
"Dungeness_Kept","Expected_Catch",71157,83172,70331,102020
"Dungeness_Kept","Predictive_Catch",NA,83181,70322,101938
