"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
58,"2024-11-12","2024-11-12",1,0,0,0,0,0,0,0,FALSE,1.34849874771724,0.515913685380099
59,"2024-11-13","2024-11-13",1,1,1,1,1,1,8,0,TRUE,0.92255380862517,0.492923367543408
60,"2024-11-14","2024-11-14",1,1,1,1,1,1,15,0,TRUE,1.22308267256365,0.515738935307896
61,"2024-11-15","2024-11-15",1,1,1,1,1,1,25,0,TRUE,0.961213145938447,0.488316107642262
62,"2024-11-16","2024-11-16",1,1,1,1,1,1,30,0,TRUE,0.993800481521656,0.488474304188371
63,"2024-11-17","2024-11-17",1,0,0,0,0,0,0,0,FALSE,1.32263499846226,0.54140962671601
64,"2024-11-18","2024-11-18",1,0,0,0,0,0,0,0,FALSE,1.40797833282619,0.586655226783825
65,"2024-11-19","2024-11-19",1,1,1,1,1,1,8,0,TRUE,1.30541461063644,0.55817850043696
66,"2024-11-20","2024-11-20",1,1,0,1,0,1,0,0,TRUE,2.10531132917863,0.534654687316473
67,"2024-11-21","2024-11-21",1,1,1,1,1,1,5,0,TRUE,1.35362502860726,0.494076334031121
68,"2024-11-22","2024-11-22",1,1,1,1,1,1,2,0,TRUE,1.73879561478608,0.521506746809823
69,"2024-11-23","2024-11-23",1,1,1,1,1,1,9,0,TRUE,1.15880112128759,0.48646926091785
70,"2024-11-24","2024-11-24",1,0,0,0,0,0,0,0,FALSE,1.48806414185904,0.553216443615998
71,"2024-11-25","2024-11-25",1,0,0,0,0,0,0,0,FALSE,1.27705995644872,0.574282425204547
72,"2024-11-26","2024-11-26",1,1,1,1,1,1,9,0,TRUE,0.921765679718233,0.519616746603383
73,"2024-11-27","2024-11-27",1,1,1,1,1,1,8,0,TRUE,1.00819798680347,0.491611476999133
74,"2024-11-28","2024-11-28",1,0,0,0,0,0,0,0,FALSE,1.33850785882622,0.556076092318136
75,"2024-11-29","2024-11-29",1,1,1,1,1,1,33,0,TRUE,1.46784835813392,0.537661254816851
76,"2024-11-30","2024-11-30",1,1,1,1,1,1,48,0,TRUE,1.40301125872877,0.383833565145456
