"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",195,-561.052730826422,23.8258666307284,12.2886069660578,0,-548.76
"catch",131,-452.320667543554,9.75777321107384,10.9774113714582,1,-441.34
