"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.33 gear/crabber (1.27-1.39)","3.88 gear/group (1.50-10.63)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","4.00 gear/group (1.49-10.72)"
"private_boat_all_gear_Dungeness_Kept","1.50 gear/crabber (0.82-2.69)","3.55 gear/group (3.24-3.88)"
