"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1566,1566,1566,1091,1091,1091
"2024-10",3186,3186,3186,2261,2261,2261
"2024-11",2288,2288,2288,1718,1718,1718
"2024-12",9706,8908,10842,2287,1884,2846
"2025-01",7375,6833,8155,2492,1986,3213
"2025-02",1715,1412,2214,1539,1194,2062
"2025-03",1871,1319,2858,2058,1636,2726
"2025-04",3523,2494,5309,3389,2671,4453
"2025-05",8046,5324,13225,3979,3124,5268
"2025-06",4375,2724,7622,3312,2414,4846
"2025-07",12615,7249,23645,7417,5545,10428
"2025-08",19313,12477,31880,8366,6553,11083
"2025-09",5790,3373,10980,3608,2713,5065
