"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59423,48261,75811,0.71
"Trap",11483,10172,13174,0.137
"Ring Net",10326,8883,12143,0.123
"Snare",1998,1722,2326,0.024
"Other",409,239,706,0.005
