"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39282,31348,23,79.8
"shore all-gear",289,145,17081,8294,50,48.6
"shore pot-closure",76,51,5734,1811,67,31.6
