"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",23350.8439765363,12645.3871226925
"Shore (all-gear)",114812.088837634,33261.8313473165
"Private Boat (ring-net)",1687.34337962963,944.546445828573
"Private Boat (all-gear)",34168.9572682039,11286.9590784539
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",174302.045056206,70145.8437406682
