"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort (crabber-hrs)",174302,220876,205287,239182
"Dungeness_Kept","Catch",70146,111935,97904,136227
