"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3561,2694,5137,6128,4868,8849
"2024-10",5813,4806,7398,10436,8818,13009
"2024-11",5058,3828,6418,8432,6555,10529
"2024-12",11145,9917,12831,8930,7197,11323
"2025-01",8335,7498,9486,9605,7631,12236
"2025-02",2695,2074,3629,6629,5114,8882
"2025-03",2999,2222,4078,8926,7600,10291
"2025-04",6836,5009,10125,18551,15730,22385
"2025-05",10336,7566,14757,23004,19611,27257
"2025-06",7081,4881,10918,18002,14083,22877
"2025-07",18386,12196,30672,41945,34052,52728
"2025-08",19914,14100,32170,42639,35912,51654
"2025-09",8084,5268,13675,15835,12957,20001
