"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C_sum",13644.13275,50.4381268865141,1268.57127012805,11349.975,12869.75,13530,14341.25,16567.125,632.574736568795,1.00590310866851
"E_sum",23698.8363988176,88.54381198248,2040.89356364713,20136.8399856059,22402.9260876742,23456.8307313544,24825.7533389423,28268.8183750543,531.280996202029,1.01119744855284
"C_sum_gear[1]",178.2355,11.8822295561891,116.759021951418,58,100,144,220,471,96.557279282254,1.04167234629214
"C_sum_gear[2]",5888.60225,22.0826411289063,616.360123219625,4736.9,5499.75,5850,6222,7250.1,779.053059173553,1.00326427865783
"C_sum_gear[3]",1161.0215,52.378870205192,231.459832263047,768.975,984,1134.5,1348.25,1587.05,19.5271568592554,1.15504607245212
"C_sum_gear[4]",6416.2735,27.5136240442768,711.081942240059,5178.975,5958.75,6299,6822,8045.025,667.94961318076,1.01917136510504
"B1",0.485039192826047,0.00875311192872377,0.161784920196938,0.165755486080442,0.401116802390387,0.474989216143085,0.585750671032609,0.820313499430881,341.626155891718,1.00818267628123
"B2",0.157638283759462,0.0622184869047224,0.52444318541248,-0.731107789202362,-0.222499311334514,0.0867683007444786,0.503279085696622,1.29432080746433,71.0490053879309,1.05596198436944
"r_C_gear_out[1]",0.834710276948899,0.0532519811441121,0.673661628213571,0.222083089549982,0.437564921658063,0.635941297521914,1.02724919121451,2.51402785344134,160.033934305347,1.02990251047126
"r_C_gear_out[2]",1.26948675007171,0.0341542288007259,0.163329112728704,1.04240479617103,1.12194083743515,1.26251286790525,1.37762546185749,1.61546181736568,22.868529465848,1.13729846692135
"r_C_gear_out[3]",1.75323832845284,0.020354426744254,0.865669058836527,0.8078779811043,1.25208402421633,1.67108414345868,1.94613514624734,3.77802687491668,1808.78121473639,1.00150132352896
"r_C_gear_out[4]",1.68868621797087,0.0511671967534466,0.235646406606272,1.35771431459291,1.48627485370511,1.67605287554811,1.84406033687386,2.20924339920547,21.2098889361637,1.148216833801
