"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59556,48521,76906,0.712
"Trap",11441,10065,13202,0.137
"Ring Net",10298,8949,12229,0.123
"Snare",1987,1717,2344,0.024
"Other",410,237,714,0.005
