"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1673,1301,2293,1200,933,1656
"2024-10",3224,2658,4006,2250,1857,2800
"2024-11",2490,1908,3271,1858,1450,2406
"2024-12",9622,8791,10733,2253,1783,2869
"2025-01",7169,6648,7922,2254,1772,2889
"2025-02",1681,1391,2106,1453,1098,1932
"2025-03",1530,1073,2394,1659,1384,1994
"2025-04",3355,2452,4996,3223,2649,3952
"2025-05",8114,5464,13717,3933,3243,4827
"2025-06",4115,2658,7074,2948,2269,3881
"2025-07",12816,7611,24283,7893,6114,10847
"2025-08",19458,12613,31166,8901,7143,11459
"2025-09",5796,3406,10606,3601,2715,5001
