"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","71157"
"BSS total catch (median)","83020"
"BSS 95% CI lower","70335"
"BSS 95% CI upper","100858"
"Catch (PE): Shore","21533"
"Catch (PE): Private Boat","37638"
"Catch (PE): Commercial/Charter","11986"
"Catch % (PE): Shore","30.3"
"Catch % (PE): Private Boat","52.9"
"Catch % (PE): Commercial/Charter","16.8"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","3"
