"fit","weekend_effort_mult","holiday_effort_mult","weekend_cpue_mult","B1_C_median","B1_C_lo95","B1_C_hi95"
"shore_ring_net_only_Dungeness_Kept","1.53x (1.08-2.17)","1.63x (0.60-5.22)","0.84x (0.71-1.00)",-0.172,-0.349,0.001
"shore_all_gear_Dungeness_Kept","1.67x (1.32-2.09)","2.80x (1.57-5.09)","0.72x (0.61-0.86)",-0.327,-0.499,-0.146
"private_boat_all_gear_Dungeness_Kept","1.30x (0.94-1.78)","2.19x (1.07-4.91)","0.99x (0.74-1.34)",-0.011,-0.306,0.289
