"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.18382516867516,1.25051793964919,3.07177824203123,5.18205266905912,116,1.0396
"mu_mu_C[1]",0.00728699197677622,-2.32565338928076,0.255370766659266,1.91802590418233,100,1.0455
"sigma_eps_E",0.239567808130749,0.00882418525253918,0.216321383282563,0.610697220926553,185,1.0247
"sigma_eps_C",0.0934919450138132,0.00567097002499777,0.0885034024605761,0.219740055897336,1435,1.0021
"phi_E",0.230318471093336,-0.653300398687371,0.316866995195508,0.826494059544205,933,1.0018
"phi_C",0.130075925291386,-0.72584124049324,0.179728719461446,0.816310682318467,101,1.0447
"sigma_r_E",0.489944798422528,0.09022757972757,0.522322716897791,0.689028511966452,144,1.04
"sigma_r_C",0.772025149740578,0.698188255925545,0.771879779818373,0.852269189891475,497,1.0105
"r_E",52.1718071733836,2.10632612050091,3.66540672358099,122.834794878299,2104,1.003
"r_C",1.69114603749263,1.37672255348301,1.6784201035318,2.05142159500643,478,1.0105
"sigma_mu_E",1.17571252150603,0.0321276209561323,0.755471006729608,5.11852844875094,4081,1.0011
"sigma_mu_C",1.50588435591426,0.0319736927032819,0.781656348809502,8.13270964156344,39,1.1196
"sigma_IE",0.202042692995848,0.00501183321794233,0.147384025507329,0.755141027828232,8076,1.0009
"R_G",1.3237015830791,1.26528620083402,1.32232007387879,1.38477555474548,8098,1.0012
"R_G_boat",4.59190590949462,1.47293177639844,4.18320504259679,10.921844073082,6985,1.0005
"B1",0.428739585552828,0.0757666472765687,0.423304940463664,0.7736362720017,1767,1.0035
"B2",0.0892257495002812,-0.886683463747383,0.0549463236177613,1.21481582134624,2926,1.0014
"B1_C",-0.171860592792263,-0.348883958074337,-0.171967399868679,0.000868854512709934,395,1.0121
