"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59227,48038,76480,0.71
"Trap",11484,10188,13113,0.138
"Ring Net",10309,8926,12172,0.124
"Snare",1996,1712,2345,0.024
"Other",409,231,706,0.005
