"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39200,31281,23,79.8
"shore all-gear",289,145,17066,8287,50,48.6
"shore pot-closure",76,51,5737,1813,67,31.6
