"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4486,4758,6.1,5869,6248,6.5,"PE"
"shore (All gear)",18104,24030,32.7,15665,20690,32.1,"PE"
"private_boat (Pot closure)",584,NA,NA,1170,NA,NA,"PE"
"private_boat (All gear)",11886,14737,24,36468,43198,18.5,"BSS"
"comm_charter (census)",283,NA,NA,11986,NA,NA,"Census"
