"Mode","PE_Catch","PE_Effort"
"Shore (Dock/Jetty/Beach)",20304.5524839444,53567.6608429536
"Private Boat",23041.5578350129,12469.7507099391
"Commercial/Charter",12007.1197463768,282.811594202899
"PORT TOTAL",55353.230065334,66320.2231470957
