"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",4485.73333333333,5884.18329553266
"Shore (all-gear)",18104.0555555556,15732.2906392836
"Private Boat (ring-net)",583.905882352941,971.294117647059
"Private Boat (all-gear)",11885.8448275862,22070.2637173658
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",35342.3511930309,56665.1515162059
