"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48156,31563,74446,0.674
"Trap",11564,10301,13130,0.162
"Ring Net",9427,7768,11909,0.132
"Snare",1972,1717,2297,0.028
"Other",289,122,629,0.004
