"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"trailer",2,"2024-09-17",5,5.771,0.5755,0.11632,TRUE,TRUE
"trailer",3,"2024-09-18",9,5.771,0.7953,0.11632,FALSE,TRUE
"trailer",4,"2024-09-19",3,5.771,0.3972,0.11632,TRUE,TRUE
"trailer",5,"2024-09-20",1,5.771,0.1752,0.11632,FALSE,TRUE
"trailer",5,"2024-09-20",0,5.771,0.0582,0.11632,FALSE,TRUE
"trailer",9,"2024-09-24",3,5.771,0.3972,0.11632,TRUE,TRUE
"trailer",12,"2024-09-27",5,5.771,0.5755,0.11632,TRUE,TRUE
"trailer",13,"2024-09-28",12,16.588,0.5078,0.04053,TRUE,TRUE
"trailer",16,"2024-10-01",7,2.278,0.9434,0.27076,FALSE,TRUE
"trailer",18,"2024-10-03",4,2.278,0.8109,0.27076,FALSE,TRUE
"trailer",19,"2024-10-04",5,2.278,0.8743,0.27076,FALSE,TRUE
"trailer",20,"2024-10-05",12,6.525,0.8479,0.10298,FALSE,TRUE
"trailer",23,"2024-10-08",0,2.278,0.1354,0.27076,FALSE,TRUE
"trailer",24,"2024-10-09",3,2.278,0.7158,0.27076,TRUE,TRUE
"trailer",26,"2024-10-11",3,2.278,0.7158,0.27076,TRUE,TRUE
"trailer",27,"2024-10-12",9,6.525,0.752,0.10298,FALSE,TRUE
"trailer",28,"2024-10-13",7,6.525,0.6556,0.10298,TRUE,TRUE
"trailer",30,"2024-10-15",2,2.278,0.5764,0.27076,TRUE,TRUE
"trailer",31,"2024-10-16",2,2.278,0.5764,0.27076,TRUE,TRUE
"trailer",32,"2024-10-17",2,2.278,0.5764,0.27076,TRUE,TRUE
"trailer",33,"2024-10-18",1,2.278,0.3824,0.27076,TRUE,TRUE
"trailer",34,"2024-10-19",0,6.525,0.0515,0.10298,FALSE,TRUE
"trailer",36,"2024-10-21",1,2.278,0.3824,0.27076,TRUE,TRUE
"trailer",37,"2024-10-22",0,2.278,0.1354,0.27076,FALSE,TRUE
"trailer",38,"2024-10-23",0,2.278,0.1354,0.27076,FALSE,TRUE
"trailer",39,"2024-10-24",2,2.278,0.5764,0.27076,TRUE,TRUE
"trailer",40,"2024-10-25",0,2.278,0.1354,0.27076,FALSE,TRUE
"trailer",41,"2024-10-26",1,6.525,0.1551,0.10298,FALSE,TRUE
"trailer",45,"2024-10-30",1,2.278,0.3824,0.27076,TRUE,TRUE
"trailer",47,"2024-11-01",2,0.768,0.8699,0.56294,FALSE,TRUE
"trailer",51,"2024-11-05",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",52,"2024-11-06",1,0.768,0.6902,0.56294,TRUE,TRUE
"trailer",53,"2024-11-07",4,0.768,0.9744,0.56294,FALSE,TRUE
"trailer",54,"2024-11-08",1,0.768,0.6902,0.56294,TRUE,TRUE
"trailer",55,"2024-11-09",0,2.226,0.1503,0.30058,FALSE,TRUE
"trailer",58,"2024-11-12",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",59,"2024-11-13",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",60,"2024-11-14",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",65,"2024-11-19",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",66,"2024-11-20",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",67,"2024-11-21",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",68,"2024-11-22",0,0.768,0.2815,0.56294,TRUE,TRUE
"trailer",72,"2024-11-26",1,0.768,0.6902,0.56294,TRUE,TRUE
"trailer",76,"2024-11-30",2,2.226,0.6062,0.30058,TRUE,TRUE
"osp",3,"2024-09-18",23,11.117,0.9058,0.0298,FALSE,TRUE
"osp",4,"2024-09-19",11,10.65,0.6187,0.03156,TRUE,TRUE
