"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.713826366559486,0.980707395498392,0.500774848868129,0.227112725990182,311,311
"catch",0.456640388114008,0.988477865372953,0.497827457333024,0.277249634886981,1649,1649
