"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"trailer",2,"2024-12-02",1,1.505,0.5156,0.39232,TRUE,TRUE
"trailer",3,"2024-12-03",2,1.505,0.7126,0.39232,TRUE,TRUE
"trailer",4,"2024-12-04",5,1.505,0.9392,0.39232,FALSE,TRUE
"trailer",5,"2024-12-05",3,1.505,0.8296,0.39232,FALSE,TRUE
"trailer",6,"2024-12-06",2,1.505,0.7126,0.39232,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.511,0.5604,0.27563,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.505,0.5156,0.39232,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.505,0.1962,0.39232,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.505,0.5156,0.39232,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.505,0.1962,0.39232,FALSE,TRUE
"trailer",14,"2024-12-14",0,2.511,0.1378,0.27563,FALSE,TRUE
"trailer",15,"2024-12-15",2,2.511,0.5604,0.27563,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.505,0.8985,0.39232,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.505,0.5156,0.39232,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.511,0.3803,0.27563,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.511,0.3803,0.27563,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.505,0.7126,0.39232,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.505,0.5156,0.39232,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.505,0.1962,0.39232,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.505,0.7126,0.39232,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.511,0.844,0.27563,FALSE,TRUE
"trailer",31,"2024-12-31",2,4.192,0.4155,0.18886,TRUE,TRUE
"trailer",32,"2025-01-01",3,3.304,0.6109,0.23125,TRUE,TRUE
"trailer",33,"2025-01-02",0,1.184,0.2266,0.45324,FALSE,TRUE
"trailer",34,"2025-01-03",0,1.184,0.2266,0.45324,FALSE,TRUE
