"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27691,41990,34669,51453
"Dungeness_Kept","Expected_Catch",45105,71535,52391,100423
"Dungeness_Kept","Predictive_Catch",NA,71553,52486,100466
