"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1696,1143,2977,1239,928,1709
"2024-10",3033,2355,4134,2135,1726,2651
"2024-11",2669,2032,3783,1964,1544,2509
"2024-12",9075,8309,10147,2171,1787,2680
"2025-01",7004,6503,7781,2481,1996,3179
"2025-02",1602,1334,2018,1525,1204,2005
"2025-03",1535,1090,2220,2034,1626,2626
"2025-04",2968,2126,4268,3293,2565,4291
"2025-05",5657,3366,10042,3422,2592,4628
"2025-06",4696,2726,8331,3640,2575,5261
"2025-07",11400,5856,23055,7148,4771,10541
"2025-08",14559,7498,27881,7415,4972,10875
"2025-09",4200,2384,8385,2855,1941,4269
